ID,Athlete_ID,Name,Sex,Age,Height,Weight,Country_Code,Region,Games,Year,Season,City,Sport,Event,Medal
41866,118973,Alicja Maria Tchrz,F,23,176.0,68.0,POL,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Womens 100 metres Backstroke,
41867,118973,Alicja Maria Tchrz,F,23,176.0,68.0,POL,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Womens 200 metres Backstroke,
41868,118975,Christelle Nana Tchoudjang,F,27,184.0,80.0,CMR,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Womens Volleyball,
41869,118978,Talita Marie Te Flan,F,21,176.0,63.0,CIV,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Womens 800 metres Freestyle,
41870,118981,Terina Lily Te Tamaki,F,19,165.0,67.0,NZL,Australia and Oceania,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Womens Rugby Sevens,Silver
41871,118987,Laura Teani,F,25,175.0,75.0,ITA,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Womens Water Polo,Silver
41872,118991,Karen Tebar,F,51,159.0,57.0,FRA,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,Equestrianism Mixed Dressage Individual,
41873,118991,Karen Tebar,F,51,159.0,57.0,FRA,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,Equestrianism Mixed Dressage Team,
41874,118994,Ren Tebbel,M,47,182.0,84.0,UKR,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,Equestrianism Mixed Jumping Individual,
41875,118994,Ren Tebbel,M,47,182.0,84.0,UKR,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,Equestrianism Mixed Jumping Team,
41876,119003,Horia Tecu,M,31,192.0,90.0,ROU,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Mixed Doubles,
41877,119003,Horia Tecu,M,31,192.0,90.0,ROU,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Mens Doubles,Silver
41878,119012,Tee Jing Yi,F,25,167.0,58.0,MAL,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Womens Singles,
41879,119018,Marhu Abinet Teferi,M,23,164.0,52.0,ISR,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens Marathon,
41880,119019,Senbere Teferi,F,21,168.0,52.0,ETH,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Womens 5000 metres,
41881,119033,Frida Tegstedt,F,29,180.0,80.0,SWE,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Womens Handball,
41882,119040,Luigi Teilemb,M,24,187.0,80.0,VAN,Australia and Oceania,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Mens Single Sculls,
41883,119049,Henrique Selicani Teixeira,M,27,192.0,100.0,BRA,South America,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Mens Handball,
41884,119050,Janice Gil Teixeira,F,54,170.0,73.0,BRA,South America,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Womens Trap,
41885,119051,Joedison de Jesus Teixeira,M,22,172.0,69.0,BRA,South America,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Mens Light Welterweight,
41886,119052,Lara Puglia Teixeira Cianciarulo,F,28,167.0,57.0,BRA,South America,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Womens Team,
41887,119054,Venilton Torres Teixeira,M,20,182.0,58.0,BRA,South America,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Mens Flyweight,
41888,119057,Issam Tej,M,37,187.0,110.0,TUN,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Mens Handball,
41889,119063,Gladys Lucy Tejeda Pucuhuaranga,F,30,156.0,47.0,PER,South America,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Womens Marathon,
41890,119065,Mara Tejerina Mackern,F,22,169.0,63.0,ARG,South America,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Womens Windsurfer,
41891,119066,Daniel Teklehaymanot Girmazion,M,27,188.0,71.0,ERI,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Mens Road Race Individual,
41892,119073,dm Tams Telegdy,M,20,194.0,77.0,HUN,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Mens 200 metres Backstroke,
41893,119079,Cludia Jaqueline Lopes Teles,F,24,166.0,57.0,BRA,South America,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Womens Rugby Sevens,
41894,119080,Marcio Soares Teles,M,22,180.0,68.0,BRA,South America,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens 400 metres Hurdles,
41895,119093,Gonzalo Ral Tellechea,M,31,174.0,61.0,ARG,South America,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Mens Olympic Distance,
41896,119117,Rodman Teltull,M,22,170.0,64.0,PLW,Australia and Oceania,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens 100 metres,
41897,119118,Mariya Telushkina,F,22,178.0,90.0,KAZ,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Womens Discus Throw,
41898,119124,Florian Skilang Temengil,M,29,183.0,125.0,PLW,Australia and Oceania,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,Wrestling Mens Super Heavyweight Freestyle,
41899,119137,Stefano Tempesti,M,37,205.0,100.0,ITA,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Mens Water Polo,Bronze
41900,119175,Tuula Tenkanen,F,25,167.0,69.0,FIN,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Womens One Person Dinghy,
41901,119180,ngela Gabriela Tenorio Micolta,F,20,166.0,55.0,ECU,South America,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Womens 100 metres,
41902,119180,ngela Gabriela Tenorio Micolta,F,20,166.0,55.0,ECU,South America,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Womens 200 metres,
41903,119186,Miltiadis Tentoglou,M,18,185.0,75.0,GRE,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens Long Jump,
41904,119191,Teo Shun Xie,F,27,168.0,63.0,SIN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Womens Air Pistol 10 metres,
41905,119191,Teo Shun Xie,F,27,168.0,63.0,SIN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Womens Sporting Pistol 25 metres,
41906,119198,Milo Teodosi,M,29,195.0,90.0,SCG,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Mens Basketball,Silver
41907,119212,Viktor Tepl,M,25,183.0,82.0,CZE,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mens One Person Dinghy,
41908,119233,Asuka Teramoto,F,20,145.0,37.0,JPN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Womens Individual All Around,
41909,119233,Asuka Teramoto,F,20,145.0,37.0,JPN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Womens Team All Around,
41910,119233,Asuka Teramoto,F,20,145.0,37.0,JPN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Womens Floor Exercise,
41911,119233,Asuka Teramoto,F,20,145.0,37.0,JPN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Womens Uneven Bars,
41912,119233,Asuka Teramoto,F,20,145.0,37.0,JPN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Womens Balance Beam,
41913,119234,Miho Teramura,F,21,165.0,53.0,JPN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Womens 200 metres Individual Medley,
41914,119235,Alejandra Tern Eligio,F,25,176.0,73.0,MEX,North America,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,Fencing Womens epee Individual,
41915,119243,Ken Terauchi,M,35,170.0,68.0,JPN,Asia,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Mens Springboard,
41916,119291,Anne Terpstra,F,25,166.0,57.0,NED,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Womens Mountainbike Cross Country,
41917,119297,Anthony Joseph Terras,M,31,170.0,69.0,FRA,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Mens Skeet,
41918,119299,Manel Terraza Farre,M,26,184.0,78.0,ESP,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Mens Hockey,
41919,119341,Amela Terzi,F,23,169.0,54.0,SCG,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Womens 800 metres,
41920,119341,Amela Terzi,F,23,169.0,54.0,SCG,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Womens 1500 metres,
41921,119345,Jovana Terzi,F,17,165.0,54.0,MNE,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Womens 100 metres Freestyle,
41922,119353,Jana Teschke,F,25,168.0,56.0,DEU,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Womens Hockey,Bronze
41923,119354,Erin Teschuk,F,21,163.0,52.0,CAN,North America,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Womens 3000 metres Steeplechase,
41924,119359,Nguse Tesfaldet Amlosom,M,29,180.0,56.0,ERI,Africa,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens 10000 metres,
41925,119361,Homiyu Tesfaye Heyi,M,23,184.0,64.0,DEU,Europe,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Mens 1500 metres,
41926,119368,William Jos Tesillo Gutirrez,M,26,184.0,78.0,COL,South America,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Mens Football,
41927,119377,Zachary Test,M,26,191.0,93.0,USA,North America,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Mens Rugby Sevens,
